	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	AAL	5.850,000	'0,68	C.I.	200	5.350,000	-	-	5.865,000	5.810,000	5.600,000	6.200,000	780.396	36	16:14:35	
	AALD	-	-	C.I.	-	-	8,000	662	6,650	6,650	-	-	-	-		
	AAPDB	-	-	C.I.	-	-	-	-	16,200	16,200	-	-	-	-		
	AAPL	17.840,000	3,14	C.I.	3	16.000,000	21.000,000	3	17.815,000	17.296,000	16.651,000	17.845,000	105.324.665	861	16:29:23	
	AAPLB	-	-	C.I.	-	-	-	-	13.132,000	13.132,000	-	-	-	-		
	AAPLD	18,950	-1,55	C.I.	1	18,350	19,900	14	18,950	19,250	18,700	19,350	12.431	49	16:12:13	
	ABBV	13.525,000	7,85	C.I.	1.000	'0,001	-	-	13.525,000	12.540,500	13.400,000	13.715,000	2.219.812	28	16:18:39	
	ABBVD	-	-	C.I.	-	-	-	-	16,352	16,352	-	-	-	-		
	ABEV	7.700,500	-0,33	C.I.	-	-	-	-	7.700,500	7.726,000	7.700,000	7.700,500	15.401	2	16:17:52	
	ABEVC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	ABEVD	-	-	C.I.	-	-	-	-	8,500	8,500	-	-	-	-		
	ABNB	8.013,500	-5,16	C.I.	50	8.013,500	8.842,000	55	8.029,000	8.450,000	8.013,500	8.400,000	147.431	5	14:32:51	
	ABNBD	-	-	C.I.	-	-	-	-	8,700	8,700	-	-	-	-		
	ABT	24.390,000	12,10	C.I.	-	-	-	-	24.390,000	21.755,500	22.703,500	24.390,000	94.187	2	14:19:07	
	ABTC	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	ABTD	-	-	C.I.	-	-	-	-	27,746	27,746	-	-	-	-		
	ADBE	25.039,500	6,46	C.I.	1	9.185,000	30.560,000	2	25.039,500	23.518,500	23.100,000	25.083,500	3.437.998	36	15:55:41	
	ADBED	-	-	C.I.	-	-	37,000	1	28,000	28,000	-	-	-	-		
	ADGO	22.323,500	-0,78	C.I.	-	-	-	-	22.323,500	22.500,000	21.300,000	23.000,000	550.981	15	15:24:55	
	ADGOD	-	-	C.I.	-	-	-	-	23,211	23,211	-	-	-	-		
	ADI	-	-	C.I.	-	-	12.000,000	10	10.697,475	10.697,475	-	-	-	-		
	ADP	-	-	C.I.	-	-	-	-	-	32.000,000	-	-	-	-		
	ADPC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	ADS	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	ADSC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	ADSD	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	AEM	-	-	C.I.	1	8.000,000	-	-	15.000,000	15.000,000	-	-	-	-		
	AIG	-	-	C.I.	-	-	-	-	11.012,500	11.012,500	-	-	-	-		
	AIGC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	AKO.B	-	-	C.I.	4	3.000,000	-	-	11.495,000	11.495,000	-	-	-	-		
	AKOBC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	AKOBD	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	AMAT	-	-	C.I.	-	-	-	-	23.400,000	23.400,000	-	-	-	-		
	AMATC	-	-	C.I.	-	-	-	-	22,708	22,708	-	-	-	-		
