symbol,symbol_arg,symbol_arg_usd,ratio,include,includee
AAL,AAL.BA,AALD.BA,2,FALSE,TRUE
AAPL,AAPL.BA,AAPLD.BA,10,TRUE,TRUE
ABBV,ABBV.BA,ABBVD.BA,10,FALSE,TRUE
ABEV,ABEV.BA,ABEVD.BA,0.333333333,FALSE,FALSE
ABNB,ABNB.BA,ABNBD.BA,15,FALSE,TRUE
ABT,ABT.BA,ABTD.BA,4,FALSE,TRUE
ADBE,ADBE.BA,ADBED.BA,22,FALSE,TRUE
ADGO,ADGO.BA,ADGOD.BA,0.5,FALSE,FALSE
ADI,ADI.BA,ADID.BA,15,FALSE,FALSE
ADP,ADP.BA,ADPD.BA,6,FALSE,FALSE
ADS,ADS.BA,ADSD.BA,22,FALSE,FALSE
AEG,AEG.BA,AEGD.BA,1,FALSE,FALSE
AEM,AEM.BA,AEMD.BA,3,FALSE,FALSE
AGRO,AGRO.BA,AGROD.BA,0.5,FALSE,FALSE
AIG,AIG.BA,AIGD.BA,5,FALSE,FALSE
AKO.B,AKO.BA,AKO.BA,1,FALSE,FALSE
AMAT,AMAT.BA,AMATD.BA,5,FALSE,FALSE
AMD,AMD.BA,AMDD.BA,10,TRUE,TRUE
AMGN,AMGN.BA,AMGND.BA,10,FALSE,FALSE
AMX,AMX.BA,AMXD.BA,1,FALSE,FALSE
AMZN,AMZN.BA,AMZND.BA,144,TRUE,TRUE
ANF,ANF.BA,ANFD.BA,1,FALSE,FALSE
AOCA,AOCA.BA,AOCAD.BA,1,FALSE,FALSE
ARCO,ARCO.BA,ARCOD.BA,0.5,FALSE,TRUE
ARKK,ARKK.BA,ARKKD.BA,10,FALSE,TRUE
ASR,ASR.BA,ASRD.BA,20,FALSE,FALSE
ATAD,ATAD.BA,ATADD.BA,4,FALSE,FALSE
AUY,AUY.BA,AUYD.BA,1,FALSE,FALSE
AVGO,AVGO.BA,AVGOD.BA,39,FALSE,TRUE
AVY,AVY.BA,AVYD.BA,18,FALSE,FALSE
AXP,AXP.BA,AXPD.BA,15,FALSE,TRUE
AZN,AZN.BA,AZND.BA,2,FALSE,TRUE
BA,BA.BA,BAD.BA,6,FALSE,TRUE
BABA,BABA.BA,BABAD.BA,9,TRUE,TRUE
BAC,BAC.BA,BACD.BA,2,FALSE,FALSE
