	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	AAL	5.701,000	'0,42	48hs.	1	5.703,000	5.789,500	8	-	5.677,000	5.450,000	5.990,000	8.517.129	232	15:41:45	
	AALC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AALD	6,470	-0,15	48hs.	25	5,710	6,470	45	-	6,480	6,300	6,480	52	6	15:08:27	
	AAPCB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AAPDB	-	-	48hs.	-	-	-	-	-	19,200	-	-	-	-		
	AAPL	18.200,000	1,36	48hs.	20	18.210,000	18.224,500	2	-	17.954,500	17.954,000	18.350,000	189.315.662	1.966	15:45:39	
	AAPLB	-	-	48hs.	-	-	-	-	-	16.608,000	-	-	-	-		
	AAPLC	-	-	48hs.	-	-	-	-	-	17,476	-	-	-	-		
	AAPLD	18,600	-2,36	48hs.	17	18,600	18,900	98	-	19,050	18,000	19,200	23.681	156	15:43:10	
	ABBV	13.201,000	-	48hs.	63	13.201,000	13.753,000	110	-	13.200,000	12.300,000	14.040,000	4.066.078	33	15:43:24	
	ABBVC	-	-	48hs.	-	-	-	-	-	9,714	-	-	-	-		
	ABBVD	-	-	48hs.	5	12,200	15,100	42	-	13,600	-	-	-	-		
	ABEV	7.730,000	1,53	48hs.	3	7.730,000	7.790,000	3	-	7.613,500	7.500,000	8.034,500	1.022.450	33	15:42:42	
	ABEVC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABEVD	-	-	48hs.	-	-	9,300	30	-	8,000	-	-	-	-		
	ABNB	8.150,000	1,88	48hs.	30	7.857,500	8.150,000	37	-	7.999,000	7.700,000	8.500,000	1.771.247	89	15:41:15	
	ABNBB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABNBC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABNBD	-	-	48hs.	2	7,800	-	-	-	8,000	-	-	-	-		
	ABT	23.900,000	3,82	48hs.	1	23.900,000	24.198,000	3	-	23.020,000	23.300,000	24.390,000	2.830.732	18	15:43:00	
	ABTB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABTC	-	-	48hs.	-	-	-	-	-	29,162	-	-	-	-		
	ABTD	-	-	48hs.	1	23,000	27,000	5	-	25,500	-	-	-	-		
	ADBE	26.001,000	-1,11	48hs.	6	26.001,000	26.389,000	48	-	26.295,000	26.000,000	27.730,000	6.401.553	55	15:41:36	
	ADBEC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ADBED	30,100	1,68	48hs.	11	25,100	30,100	3	-	29,600	30,100	30,100	30	1	15:29:17	
	ADGO	23.180,000	2,56	48hs.	3	22.650,000	23.080,000	2	-	22.600,000	21.500,000	24.950,000	7.393.091	137	15:43:03	
	ADGOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ADGOD	-	-	48hs.	-	-	-	-	-	24,650	-	-	-	-		
	ADI	11.989,000	3,61	48hs.	25	11.304,500	11.800,000	100	-	11.570,500	11.304,500	12.499,000	586.154	11	14:12:03	
	ADID	-	-	48hs.	-	-	-	-	-	13,036	-	-	-	-		
	ADP	35.000,000	2,94	48hs.	2	34.000,000	37.000,000	2	-	34.000,000	35.000,000	35.000,000	140.000	1	15:15:23	
	ADPC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
