symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,volume_norm_x,can_use_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,volume_norm_y,can_use_y,x/y mid,x/y ask,x/y bid,vol_value_x,vol_value_y,spread_x,spread_y,max_spread,base_symbol,short_name
AAL,6886.0,6887.0,6300.0,6794.0,4723.0,BUE,8.0,6700.0,6795.0,19.0,48,AAL,2.0,L,base,ARS,0.9352748744396715,1,AALD,6.6,6.6,6.42,6.42,8.0,BUE,43.0,6.45,7.49,70.0,48,AAL,2.0,D,dolar,USD,0.9352748744396715,1,1043.3333333333335,1053.4883720930231,894.5260347129506,32522578.0,52.8,0.014079288625416821,0.1492109038737446,0.1492109038737446,AAL,American Airlines Group Inc.
AAPL,18370.0,19150.0,18100.0,19112.0,45089.0,BUE,92.0,18859.5,19079.5,45.0,48,AAPL,10.0,L,base,ARS,45.900141683437326,1,AAPLD,19.0,19.15,18.25,19.1,3957.0,BUE,71.0,18.7,19.1,650.0,48,AAPL,10.0,D,dolar,USD,45.900141683437326,1,966.8421052631579,1020.2941176470589,987.4083769633507,828284930.0,75183.0,0.011597564511452595,0.021164021164021277,0.021164021164021277,AAPL,Apple
ABBV,15711.5,16681.0,15711.5,16680.0,731.0,BUE,100.0,16468.5,16679.5,100.0,48,ABBV,10.0,V,base,ARS,0.31250007774055705,0,ABBVD,15.3,16.45,14.65,16.45,45.0,BUE,8.0,16.25,16.45,45.0,48,ABBV,10.0,D,dolar,USD,0.31250007774055705,0,1026.8954248366013,1026.4307692307693,1001.1246200607903,11485106.5,688.5,0.01273078315433812,0.012232415902140628,0.01273078315433812,ABBV,Abbvie Inc.
ABEV,8264.0,8590.0,7954.0,8470.0,2370.0,BUE,160.0,8372.5,8540.0,1.0,48,ABEV,0.333333333,V,base,ARS,0.1851730088675798,0,ABEVD,10.0,10.35,10.0,10.1,0.0,BUE,5.0,7.3,9.6,16.0,48,ABEV,0.333333333,D,dolar,USD,0.1851730088675798,0,826.4,1169.86301369863,872.1354166666667,19585680.0,0.0,0.019807834441980785,0.27218934911242604,0.27218934911242604,ABEV,Ambev
ABNB,8363.0,9302.5,8340.0,9120.0,2336.0,BUE,79.0,9120.0,9199.5,32.0,48,ABNB,15.0,B,B,ARS,0.18244956775006435,0,ABNBD,8.7,8.7,8.7,8.7,1.0,BUE,7.0,8.7,0.0,0.0,48,ABNB,15.0,D,dolar,USD,0.18244956775006435,0,961.264367816092,1057.4137931034484,inf,19535968.0,8.7,0.008679276181118481,2.0,2.0,ABNB,"Airbnb, Inc."
ABT,28171.0,28519.5,27100.0,28431.0,392.0,BUE,8.0,28215.0,28561.5,60.0,48,ABT,4.0,T,base,ARS,0.13826968268215617,0,ABTD,28.9,28.9,28.9,28.9,0.0,BUE,14.0,27.0,29.0,1.0,48,ABT,4.0,D,dolar,USD,0.13826968268215617,0,974.7750865051904,1057.8333333333333,972.9310344827586,11043032.0,0.0,0.012205754141238012,0.07142857142857142,0.07142857142857142,ABT,Abbott Laboratories
AMX,18203.0,18850.0,18203.0,18850.0,99.0,BUE,60.0,18758.0,18986.5,60.0,48,AMX,1.0,X,base,ARS,0.0767399145168227,0,AMXD,20.0,20.4,20.0,20.4,0.0,BUE,0.0,0.0,20.4,3.0,48,AMX,1.0,D,dolar,USD,0.0767399145168227,0,910.15,inf,919.5098039215687,1802097.0,0.0,0.012107724304203262,2.0,2.0,AMX,America Movil
AMZN,1031.5,1075.5,1012.5,1070.0,378241.0,BUE,528.0,1070.0,1072.0,69.0,48,AMZN,144.0,N,base,ARS,11.285985764624119,1,AMZND,1.09,1.09,1.03,1.07,30158.0,BUE,2.0,1.06,1.07,9197.0,48,AMZN,144.0,D,dolar,USD,11.285985764624119,1,946.3302752293578,1011.3207547169811,999.9999999999999,390155591.5,32872.22,0.0018674136321195146,0.009389671361502356,0.009389671361502356,AMZN,Amazon
AOCA,41010.0,42110.0,40002.0,41000.0,120.0,BUE,1.0,40405.0,41000.0,27.0,48,AOCA,1.0,A,base,ARS,0.12285699249680936,0,AOCAD,23.2,23.2,23.2,23.2,0.0,BUE,13.0,24.0,53.2,9.0,48,AOCA,1.0,D,dolar,USD,0.12285699249680936,0,1767.6724137931035,1708.3333333333333,759.4924812030075,4921200.0,0.0,0.014618266691235181,0.7564766839378239,0.7564766839378239,AOCA,Aluminum Corporation Of China Limited
ARKK,5060.0,5084.0,4830.0,5045.5,42128.0,BUE,340.0,5010.5,5045.0,340.0,48,ARKK,10.0,K,base,ARS,4.817083084290281,1,ARKKD,5.08,5.33,5.01,5.1,1416.0,BUE,15.0,4.9,5.5,2.0,48,ARKK,10.0,D,dolar,USD,4.817083084290281,1,996.0629921259842,1029.5918367346937,911.0,213167680.0,7193.28,0.006861916364178808,0.11538461538461531,0.11538461538461531,ARKK,Etf Ark Innovation
AVGO,27800.0,27989.5,26593.0,27783.0,632.0,BUE,2200.0,27767.0,27900.0,3.0,48,AVGO,39.0,O,base,ARS,0.8042455684320554,1,AVGOD,29.9,29.95,29.9,29.95,30.0,BUE,3.0,29.95,29.95,24.0,48,AVGO,39.0,D,dolar,USD,0.8042455684320554,1,929.7658862876254,931.5525876460769,927.1118530884809,17569600.0,897.0,0.004778414500511973,0.0,0.004778414500511973,AVGO,Broadcom Inc.
AXP,12414.0,12939.0,12100.0,12887.5,1658.0,BUE,120.0,12810.5,12887.5,34.0,48,AXP,15.0,P,base,ARS,1.0838561776853097,1,AXPD,12.75,12.75,12.5,12.75,46.0,BUE,31.0,12.05,12.75,1.0,48,AXP,15.0,D,dolar,USD,1.0838561776853097,1,973.6470588235294,1069.5020746887967,1004.7450980392157,20582412.0,586.5,0.005992684255584092,0.05645161290322575,0.05645161290322575,AXP,American Express
