Fecha,Referencia
10/25/2023,819.7564461578976
10/24/2023,860.0
10/23/2023,935.45
10/20/2023,1110.93
10/19/2023,957.07
10/18/2023,952.59
10/17/2023,962.15
10/16/2023,966.96
10/13/2023,966.96
10/12/2023,966.77
10/11/2023,944.76
10/10/2023,953.56
10/9/2023,881.52
10/6/2023,891.96
10/5/2023,893.88
10/4/2023,904.99
10/3/2023,837.8
10/2/2023,829.67
9/29/2023,822.23
9/28/2023,819.07
9/27/2023,789.68
9/26/2023,775.52
9/25/2023,761.71
9/22/2023,753.08
9/21/2023,748.87
9/20/2023,742.94
9/19/2023,737.71
9/18/2023,734.43
9/15/2023,740.08
9/14/2023,742.66
9/13/2023,741.06
9/12/2023,739.15
9/11/2023,736.03
9/8/2023,741.09
9/7/2023,738.69
9/6/2023,762.97
9/5/2023,761.48
9/4/2023,769.98
9/1/2023,767.88
8/31/2023,780.54
8/30/2023,798.38
8/29/2023,802.35
8/28/2023,787.36
8/25/2023,770.12
8/24/2023,761.61
8/23/2023,746.6
8/22/2023,745.51
8/21/2023,746.14
8/18/2023,745.78
8/17/2023,743.44
8/16/2023,722.98
8/15/2023,702.22
8/14/2023,654.95
8/11/2023,601.24
8/10/2023,598.83
8/9/2023,591.7
8/8/2023,597.4
8/7/2023,597.63
8/4/2023,585.31
8/3/2023,576.7
8/2/2023,568.59
8/1/2023,560.13
7/31/2023,555.1
7/28/2023,536.07
7/27/2023,531.34
7/26/2023,527.72
7/25/2023,530.1
7/24/2023,531.88
7/21/2023,533.27
7/20/2023,532.51
7/19/2023,526.26
7/18/2023,520.74
7/17/2023,507.53
7/14/2023,504.49
7/13/2023,502.46
7/12/2023,501.46
7/11/2023,500.41
7/10/2023,500.53
7/7/2023,499.56
7/6/2023,498.87
7/5/2023,492.9
7/4/2023,495.0
7/3/2023,485.57
6/30/2023,495.64
6/29/2023,487.56
6/28/2023,496.29
6/27/2023,498.18
6/26/2023,489.63
6/23/2023,488.05
6/22/2023,502.34
6/21/2023,492.71
6/20/2023,487.12
6/19/2023,487.12
6/16/2023,487.12
6/15/2023,493.92
6/14/2023,495.56
6/13/2023,492.22
6/12/2023,503.37
6/9/2023,479.27
6/8/2023,481.54
6/7/2023,489.85
6/6/2023,493.46
6/5/2023,496.78
6/2/2023,479.0
6/1/2023,469.55
5/31/2023,474.99
5/30/2023,463.14
5/29/2023,480.66
5/26/2023,480.88
5/25/2023,480.88
5/24/2023,479.65
5/23/2023,481.11
5/22/2023,478.92
5/19/2023,474.35
5/18/2023,478.98
5/17/2023,454.37
5/16/2023,447.43
5/15/2023,444.6
5/12/2023,440.8
5/11/2023,441.64
5/10/2023,441.64
5/9/2023,434.0
5/8/2023,440.3
5/5/2023,440.61
5/4/2023,420.79
5/3/2023,427.27
5/2/2023,433.64
5/1/2023,453.16
4/28/2023,453.16
4/27/2023,457.29
4/26/2023,469.32
4/25/2023,465.97
4/24/2023,462.35
4/21/2023,455.11
4/20/2023,435.74
4/19/2023,429.65
4/18/2023,425.9
4/17/2023,409.04
4/14/2023,404.88
4/13/2023,402.14
4/12/2023,398.31
4/11/2023,398.97
4/10/2023,403.17
4/7/2023,408.24
4/6/2023,408.24
4/5/2023,408.24
4/4/2023,409.82
4/3/2023,406.77
3/31/2023,406.54
3/30/2023,402.79
3/29/2023,395.89
3/28/2023,390.63
3/27/2023,392.58
3/24/2023,390.19
3/23/2023,390.19
3/22/2023,397.17
3/21/2023,399.62
3/20/2023,401.36
3/17/2023,403.57
3/16/2023,400.62
3/15/2023,397.07
3/14/2023,391.47
3/13/2023,395.5
3/10/2023,393.68
3/9/2023,387.78
3/8/2023,378.96
3/7/2023,375.69
3/6/2023,372.68
3/3/2023,372.31
3/2/2023,372.57
3/1/2023,368.88
2/28/2023,366.41
2/27/2023,364.93
2/24/2023,367.02
2/23/2023,367.03
2/22/2023,368.46
2/21/2023,369.8
2/20/2023,369.8
2/17/2023,369.8
2/16/2023,370.02
2/15/2023,368.52
2/14/2023,369.82
2/13/2023,370.87
2/10/2023,371.23
2/9/2023,371.6
2/8/2023,366.13
2/7/2023,366.16
2/6/2023,365.71
2/3/2023,362.95
2/2/2023,366.83
2/1/2023,367.07
1/31/2023,367.42
1/30/2023,369.52
1/27/2023,370.39
1/26/2023,369.39
1/25/2023,365.99
1/24/2023,360.03
1/23/2023,363.19
1/20/2023,360.98
1/19/2023,355.41
1/18/2023,351.82
1/17/2023,362.19
1/16/2023,356.38
1/13/2023,349.26
1/12/2023,343.57
1/11/2023,336.96
1/10/2023,331.97
1/9/2023,333.97
1/6/2023,338.92
1/5/2023,342.16
1/4/2023,339.48
1/3/2023,344.44
1/2/2023,344.88
12/30/2022,344.13
12/29/2022,340.5
12/28/2022,346.15
12/27/2022,337.49
12/26/2022,334.85
12/23/2022,333.16
12/22/2022,333.48
12/21/2022,332.95
12/20/2022,331.58
12/19/2022,332.43
12/16/2022,332.31
12/15/2022,332.67
12/14/2022,330.13
12/13/2022,333.68
