symbol,symbol_arg,symbol_arg_usd,ratio,include
AAL,AAL,AALD,2,TRUE
AAPL,AAPL,AAPLD,10,TRUE
ABBV,ABBV,ABBVD,10,TRUE
ABEV,ABEV,ABEVD,0.333333333,FALSE
ABNB,ABNB,ABNBD,15,TRUE
ABT,ABT,ABTD,4,TRUE
ADBE,ADBE,ADBED,22,TRUE
ADGO,ADGO,ADGOD,0.5,FALSE
ADI,ADI,ADID,15,FALSE
ADP,ADP,ADPD,6,FALSE
ADS,ADS,ADSD,22,FALSE
AEG,AEG,AEGD,1,FALSE
AEM,AEM,AEMD,3,FALSE
AGRO,AGRO,AGROD,0.5,FALSE
AIG,AIG,AIGD,5,FALSE
AKO.B,AKO,AKO,1,FALSE
AMAT,AMAT,AMATD,5,FALSE
AMD,AMD,AMDD,10,TRUE
AMGN,AMGN,AMGND,10,FALSE
AMX,AMX,AMXD,1,FALSE
AMZN,AMZN,AMZND,144,TRUE
ANF,ANF,ANFD,1,FALSE
AOCA,AOCA,AOCAD,1,FALSE
ARCO,ARCO,ARCOD,0.5,TRUE
ARKK,ARKK,ARKKD,10,TRUE
ASR,ASR,ASRD,20,FALSE
ATAD,ATAD,ATADD,4,FALSE
AUY,AUY,AUYD,1,FALSE
AVGO,AVGO,AVGOD,39,TRUE
AVY,AVY,AVYD,18,FALSE
AXP,AXP,AXPD,15,TRUE
AZN,AZN,AZND,2,TRUE
BA,BA,BAD,6,TRUE
BABA,BABA,BABAD,9,TRUE
BAC,BAC,BACD,2,FALSE
BAS,BAS,BASD,2,FALSE
BAS GR,BAS GR,BAS GRD,2,FALSE
BAYN,BAYN,N/A,3,FALSE
BB,BB,BBD,3,FALSE
BBD,BBD,BBDD,1,TRUE
BBVA,BBV,BBVD,1,TRUE
BCS,BCS,BCSD,1,FALSE
BG,BG,BGD,5,FALSE
BHP,BHP,BHPD,2,FALSE
BIDU,BIDU,BIDUD,11,TRUE
BIIB,BIIB,BIIBD,13,FALSE
BIOX,BIOX,BIOXD,0.5,TRUE
BITF,BITF,BITFD,0.2,TRUE
BK,BK,BKD,2,FALSE
BMY,BMY,BMYD,3,FALSE
BNG,BNG,BNGD,5,FALSE
BP,BP,BPD,5,TRUE
BRFS,BRFS,BRFSD,0.333333333,FALSE
BRKB,BRKB,BRKBD,22,FALSE
BRK-B,BRKB ,BRKB D,22,FALSE
BSBR,BSBR,BSBRD,1,FALSE
BSN,BSN,BSND,20,FALSE
BSN GR,BSN GR,BSN GRD,20,FALSE
C,C,CD,3,FALSE
CAAP,CAAP,CAAPD,0.25,FALSE
CAH,CAH,CAHD,3,FALSE
CAJ,CAJ,CAJD,2,FALSE
CAR,CAR,CARD,26,FALSE
CAT,CAT,CATD,20,TRUE
CBD,CBD,CBDD,1,FALSE
CDE,CDE,CDED,1,FALSE
CL,CL,CLD,3,FALSE
COIN,COIN,COIND,27,TRUE
COST,COST,COSTD,48,FALSE
CRM,CRM,CRMD,18,TRUE
CS,CS,CSD,1,FALSE
CSCO,CSCO,CSCOD,5,TRUE
CVX,CVX,CVXD,8,TRUE
CX,CX,CXD,1,FALSE
DD,DD,DDD,5,FALSE
DE,DE,DED,40,FALSE
DEO,DEO,DEOD,6,FALSE
DESP,DESP,DESPD,1,TRUE
DIA,DIA,DIAD,20,TRUE
DIS,DISN,DISND,12,TRUE
DOCU,DOCU,DOCUD,22,FALSE
DOW,DOW,DOWD,6,TRUE
DTEA,DTEA,DTEAD,3,FALSE
DTEA GR,DTEA GR,DTEA GRD,3,FALSE
E,E,ED,4,FALSE
EA,EA,EAD,14,TRUE
EBAY,EBAY,EBAYD,2,TRUE
EBR,EBR,EBRD,0.25,FALSE
EEM,EEM,EEMD,5,FALSE
EFX,EFX,EFXD,16,FALSE
ELP,ELP,ELPD,0.333333333,FALSE
EOAN,EOAN,EOAND,6,FALSE
EOAN GR,EOAN GR,EOAN GRD,6,FALSE
ERIC,ERIC,N/A,2,FALSE
ERJ,ERJ,ERJD,1,FALSE
ETSY,ETSY,ETSYD,16,TRUE
EWZ,EWZ,EWZD,2,TRUE
F,F,FD,1,TRUE
FCX,FCX,FCXD,3,TRUE
FDX,FDX,FDXD,10,TRUE
FMCC,FMCC,N/A,1,FALSE
FMX,FMX,FMXD,6,FALSE
FNMA,FNMA,FNMAD,1,FALSE
FSLR,FSLR,FSLRD,3,FALSE
GE,GE,GED,8,FALSE
GFI,GFI,GFID,1,FALSE
GGB,GGB,GGBD,0.25,FALSE
GILD,GILD,GILDD,4,FALSE
GLOB,GLOB,GLOBD,18,TRUE
GLW,GLW,GLWD,4,FALSE
GM,GM,GMD,6,TRUE
GOLD,GOLD,GOLDD,1,TRUE
GOOGL,GOOGL,GOGLD,58,TRUE
GPRK,GPRK,GPRKD,1,FALSE
GRMN,GRMN,GRMND,3,FALSE
GS,GS,GSD,13,FALSE
GSK,GSK,GSKD,4,FALSE
HAL,HAL,HALD,2,FALSE
HD,HD,HDD,32,FALSE
HDB,HDB,HDBD,2,FALSE
HHPD LI,HHPD LI,HHPD LID,2,FALSE
HL,HL,HLD,1,FALSE
HMC,HMC,HMCD,1,FALSE
HMY,HMY,HMYD,1,TRUE
HNPIY,HNPIY,HNPIYD,1,FALSE
HOG,HOG,HOGD,3,FALSE
HON,HON,HOND,8,FALSE
HPQ,HPQ,HPQD,1,FALSE
HSBC,HSBC,HSBCD,2,FALSE
HSY,HSY,HSYD,21,FALSE
HUT,HUT,HUTD,0.2,TRUE
HWM,HWM,HWMD,1,FALSE
IBM,IBM,IBMD,5,TRUE
IBN,IBN,IBND,1,FALSE
IFF,IFF,IFFD,12,FALSE
INFY,INFY,INFYD,1,FALSE
ING,ING,INGD,3,FALSE
INTC,INTC,INTCD,5,TRUE
IP,IP,IPD,4,FALSE
ITUB,ITUB,ITUBD,1,FALSE
IWM,IWM,IWMD,10,TRUE
JCI,JCI,JCID,2,FALSE
JD,JD,JDD,2,TRUE
JMIA,JMIA,JMIAD,1,TRUE
JNJ,JNJ,JNJD,15,TRUE
JPM,JPM,JPMD,5,TRUE
KB,KB,KBD,2,FALSE
KEP,KEP,KEPD,1,FALSE
KGC,KGC,KGCD,1,FALSE
KMB,KMB,KMBD,6,FALSE
KO,KO,KOD,5,TRUE
KOF,KOFM,N/A,2,FALSE
LFCHY,LFCHY,LFCHYD,2,FALSE
LKOD,LKOD,LKODD,4,FALSE
LLY,LLY,LLYD,8,TRUE
LMT,LMT,LMTD,20,TRUE
LRCX,LRCX,LRCXD,56,FALSE
LVS,LVS,LVSD,2,FALSE
LYG,LYG,LYGD,2,FALSE
MA,MA,MAD,33,TRUE
