base_symbol,shortName,open,open_D_BA_adj,open_BA_adj,volume_BA,volume_D_BA,ganDols,ganPesos
AAPL,Apple Inc.,175.58,188.0,188.0,97972.0,4007.0,-0.07073698598929255,-0.07073698598929255
AMD,"Advanced Micro Devices, Inc.",103.38,105.0,,16954.0,240.0,-0.015670342426001207,
AMZN,"Amazon.com, Inc.",129.9,139.68,,660034.0,20240.0,-0.07528868360277137,
BABA,Alibaba Group Holding Limited,82.96,87.75,,19780.0,267.0,-0.05773866923818716,
DIS,Walt Disney Company (The),85.69,91.19999999999999,,30980.0,974.0,-0.06430155210643006,
GOOGL,Alphabet Inc.,139.445,151.96,,193179.0,6702.0,-0.08974864641973548,
INTC,Intel Corporation,35.5242,38.45,,10063.0,173.0,-0.08236075689248462,
JNJ,Johnson & Johnson,155.41,169.5,,27461.0,350.0,-0.09066340647319995,
JPM,JP Morgan Chase & Co.,146.59,159.5,,7936.0,23.0,-0.0880687632171362,
KO,Coca-Cola Company (The),54.1,57.75,,422201.0,33237.0,-0.0674676524953789,
MCD,McDonald's Corporation,252.85,288.0,,39276.0,591.0,-0.1390152264188254,
MELI,"MercadoLibre, Inc.",1230.0,1341.0,,28021.0,604.0,-0.09024390243902439,
META,"Meta Platforms, Inc.",321.39,360.0,,20503.0,390.0,-0.12013441612993564,
MSFT,Microsoft Corporation,332.49,361.5,,62293.0,1721.0,-0.0872507443832897,
NVDA,NVIDIA Corporation,425.91,471.59999999999997,,27106.0,765.0,-0.10727618510953003,
PBR,Petroleo Brasileiro S.A.- Petro,16.3,17.45,,29328.0,863.0,-0.07055214723926372,
PEP,"Pepsico, Inc.",161.02,208.79999999999998,,9004.0,107.0,-0.29673332505278827,
PFE,"Pfizer, Inc.",32.54,35.7,,10292.0,446.0,-0.09711124769514455,
TSLA,"Tesla, Inc.",252.7,288.75,,70692.0,1124.0,-0.1426592797783934,
VIST,Vista Energy S.A.B. de C.V.,32.78,34.0,,78027.0,1851.0,-0.037217815741305636,
WBA,"Walgreens Boots Alliance, Inc.",22.72,23.4,,7944.0,153.0,-0.02992957746478872,
WMT,Walmart Inc.,161.88,177.89999999999998,,12932.0,175.0,-0.0989621942179391,
DIA,SPDR Dow Jones Industrial Avera,339.74,360.0,,444863.0,798.0,-0.05963383764054862,
QQQ,"Invesco QQQ Trust, Series 1",365.67,428.0,,37365.0,1110.0,-0.17045423469248225,
SPY,SPDR S&P 500,434.19,464.0,,357095.0,17037.0,-0.06865657891706396,
XLE,SPDR Select Sector Fund - Energ,91.5,102.0,,23530.0,417.0,-0.11475409836065574,
BRKB,,,376.20000000000005,,55560.0,3457.0,,
EWZ,,,33.0,,18686.0,63.0,,
