base_symbol,shortName,open_BA,bid_BA,ask_BA,open_D_BA,bid_D_BA,ask_D_BA,volume_BA,volume_D_BA,MEP,USD/ARS ask,USD/ARS bid
AAL,American Airlines Group Inc.,5100.0,4650.0,4707.0,5.89,5.5,5.88,2098.0,1.0,865.874363327674,855.8181818181819,790.8163265306123
AAPL,Apple,15450.0,14250.0,14292.0,18.1,17.4,17.5,29006.0,2138.0,853.5911602209944,821.3793103448277,814.2857142857143
ABBV,Abbvie Inc.,13480.0,11112.5,12460.5,15.8,12.2,17.0,370.0,0.0,853.1645569620252,1021.3524590163935,653.6764705882352
AMD,Advanced Micro Devices,8986.0,8145.0,8164.0,10.1,9.7,10.35,9802.0,274.0,889.7029702970298,841.6494845360826,786.9565217391305
AMX,America Movil,14800.0,13866.0,14199.0,20.7,0.0,21.95,36.0,0.0,714.975845410628,inf,631.7084282460137
AMZN,Amazon,790.0,710.0,714.0,0.948,0.87,0.898,133142.0,9885.0,833.3333333333334,820.6896551724138,790.6458797327394
AOCA,Aluminum Corporation Of China Limited,78100.0,100000.0,103499.0,22.0,15.0,0.0,895.0,0.0,3550.0,6899.933333333333,inf
ARKK,Etf Ark Innovation,3250.0,2986.5,3010.5,3.77,3.6,3.98,2747.0,342.0,862.0689655172414,836.25,750.3768844221106
AVGO,Broadcom Inc.,20300.0,17700.0,18100.0,24.5,17.5,0.0,183.0,0.0,828.5714285714286,1034.2857142857142,inf
AXP,American Express,8770.0,7785.5,8030.5,10.0,10.0,10.95,735.0,1.0,877.0,803.05,711.0045662100457
AZN,Astrazeneca,28000.0,26700.0,27313.0,35.5,25.1,36.0,38.0,0.0,788.7323943661971,1088.1673306772907,741.6666666666666
BABA,Alibaba Group,8145.0,7536.0,7581.0,9.1,9.1,9.3,8456.0,226.0,895.054945054945,833.0769230769231,810.3225806451612
BA,Boeing,25700.0,24799.0,26850.0,32.6,0.0,32.4,100.0,0.0,788.3435582822085,inf,765.4012345679013
BBD,Banco Bradesco S.A.,2520.0,2373.0,2402.5,2520.0,2373.0,2402.5,3113.0,3113.0,1.0,1.0124315212810788,0.9877211238293444
BBD,Banco Bradesco S.A.,2520.0,2373.0,2402.5,2.9,2.75,3.0,3113.0,114.0,868.9655172413793,873.6363636363636,791.0
BIDU,Baidu,8800.0,8160.5,8350.0,10.5,9.0,10.7,485.0,0.0,838.0952380952381,927.7777777777778,762.6635514018692
BIOX,Bioceres Crop Solutions Corp,19300.0,17707.5,17974.5,21.5,21.5,21.95,626.0,16.0,897.6744186046511,836.0232558139535,806.7198177676538
BITF,Bitfarms Ltd.,5385.0,4980.0,5056.0,5.0,4.0,0.0,1462.0,0.0,1077.0,1264.0,inf
BMY,Bristol-Myers Squibb Co,16109.5,15611.0,15874.0,0.0,18.1,21.9,446.0,0.0,inf,877.0165745856353,712.8310502283106
BP,BP,6416.0,6011.0,6647.0,8.74,7.11,0.0,442.0,0.0,734.0961098398169,934.8804500703235,inf
BRKB,Berkshire Hathaway,13780.0,12847.0,12851.5,15.7,15.2,15.65,5892.0,149.0,877.7070063694268,845.4934210526317,820.8945686900959
CAT,Caterpillar,11200.0,10300.0,10430.0,13.0,12.5,14.45,614.0,60.0,861.5384615384615,834.4,712.80276816609
COIN,Coinbase Global Inc.,2700.0,2466.5,2497.5,2.97,2.99,3.11,19645.0,1471.0,909.090909090909,835.2842809364548,793.0868167202573
CSCO,Cisco Systems,9000.0,8743.0,8868.0,11.0,9.2,10.9,395.0,0.0,818.1818181818181,963.913043478261,802.1100917431193
CVX,Chevron,17428.5,16308.0,16339.5,20.05,19.2,20.05,4146.0,39.0,869.2518703241894,851.015625,813.3665835411471
DE,Deere,8150.0,7660.0,9465.0,10.25,8.1,10.85,589.0,0.0,795.1219512195122,1168.5185185185185,705.9907834101383
DESP,Despegar,6000.0,5238.5,5599.0,7.0,4.9,6.99,648.0,7.0,857.1428571428571,1142.6530612244896,749.4277539341916
DIA,Etf Spdr Dow Jones Industrial,14600.0,13880.0,13930.0,17.0,16.45,16.7,15325.0,1963.0,858.8235294117648,846.8085106382979,831.1377245508983
DIS,The Walt Disney Company,6077.0,5652.0,5709.0,7.03,6.86,7.2,6223.0,212.0,864.4381223328592,832.2157434402332,785.0
EA,Electronic Arts Inc.,8000.0,6960.5,7710.5,11.0,7.91,12.0,170.0,0.0,727.2727272727273,974.7787610619469,580.0416666666666
EBAY,eBay,17300.0,16535.0,16656.0,20.5,0.0,22.9,83.0,0.0,843.9024390243902,inf,722.052401746725
EEM,Etf Ishares Msci Emerging Market,6788.0,6109.5,6193.5,7.5,7.5,8.94,1184.0,103.0,905.0666666666667,825.8,683.3892617449665
ERJ,Embraer S.A.,11702.0,11719.5,11886.0,14.25,0.0,16.9,136.0,0.0,821.1929824561404,inf,693.4615384615386
ETSY,Etsy Inc,3475.5,3235.0,3299.5,3.99,2.4,5.5,909.0,0.0,871.0526315789473,1374.7916666666667,588.1818181818181
EWZ,Etf Ishares Msci Brazil,13600.0,12504.5,12607.5,14.95,14.85,17.4,7106.0,29.0,909.6989966555184,848.989898989899,718.6494252873564
