simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
AAL,"{'cantidadCompra': 10.0, 'precioCompra': 6305.5, 'precioVenta': 6541.5, 'cantidadVenta': 50.0}",6443.0,-1.74,6600.0,6897.5,6350.0,6443.0,1943.0,174.0,2023-12-29T13:43:12.157,,,,1,1,AMERICAN AIRLINES GROUP INC.,T2,1,1
AALD,"{'cantidadCompra': 3.0, 'precioCompra': 6.3, 'precioVenta': 7.1, 'cantidadVenta': 3.0}",6.68,-1.76,6.85,6.85,6.68,6.68,14.0,2.0,2023-12-29T12:20:57.353,,,,1,2,American Airlines Group Inc.,T2,1,1
AAPL,"{'cantidadCompra': 1.0, 'precioCompra': 18151.0, 'precioVenta': 18334.0, 'cantidadVenta': 4.0}",18151.0,-0.48,18400.0,19406.5,17950.0,18151.0,40512.0,2312.0,2023-12-29T13:46:09.153,,,,1,1,Apple,T2,1,1
AAPLC,,17.5,0.0,17.5,17.5,17.5,17.5,0.0,0.0,2023-12-29T03:00:02.043,,,,1,2,Apple,T2,1,1
AAPLD,"{'cantidadCompra': 35.0, 'precioCompra': 19.0, 'precioVenta': 19.1, 'cantidadVenta': 12.0}",19.1,-2.05,19.5,19.75,18.9,19.1,1057.0,168.0,2023-12-29T13:42:50.617,,,,1,2,Apple,T2,1,1
ABBV,"{'cantidadCompra': 5.0, 'precioCompra': 14098.0, 'precioVenta': 14700.0, 'cantidadVenta': 44.0}",14818.0,1.39,14700.0,15065.5,14470.5,14818.0,336.0,22.0,2023-12-29T13:33:17.753,,,,1,1,AbbVie Inc.,T2,1,1
ABBVC,,11.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,2023-12-29T03:00:21.36,,,,1,2,AbbVie Inc.,T2,1,1
ABBVD,"{'cantidadCompra': 63.0, 'precioCompra': 14.1, 'precioVenta': 16.85, 'cantidadVenta': 30.0}",15.2,-3.18,15.2,15.2,15.2,15.2,40.0,1.0,2023-12-29T13:09:46.49,,,,1,2,Abbvie Inc.,T2,1,1
ABEV,"{'cantidadCompra': 160.0, 'precioCompra': 7894.0, 'precioVenta': 8000.0, 'cantidadVenta': 3.0}",8050.0,0.68,7996.0,8623.5,7868.0,8050.0,271.0,30.0,2023-12-29T13:37:04.913,,,,1,1,Ambev,T2,1,1
ABEVD,"{'cantidadCompra': 1.0, 'precioCompra': 8.25, 'precioVenta': 10.35, 'cantidadVenta': 1.0}",9.9,0.0,9.9,9.9,9.9,9.9,0.0,0.0,2023-12-29T03:00:17.987,,,,1,2,Ambev,T2,1,1
ABNB,"{'cantidadCompra': 1.0, 'precioCompra': 8500.0, 'precioVenta': 9200.0, 'cantidadVenta': 17.0}",8663.5,1.8,8510.0,8925.0,8365.0,8663.5,317.0,74.0,2023-12-29T13:36:53.037,,,,1,1,"Airbnb, Inc.",T2,1,1
ABNBC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:33.113,,,,1,2,"Airbnb, Inc.",T2,1,1
ABNBD,"{'cantidadCompra': 12.0, 'precioCompra': 8.4, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",9.3,0.0,9.2,9.3,9.2,9.3,0.0,0.0,2023-12-29T03:00:01.38,,,,1,2,"Airbnb, Inc.",T2,1,1
ABT,"{'cantidadCompra': 60.0, 'precioCompra': 26053.5, 'precioVenta': 26288.0, 'cantidadVenta': 1200.0}",26288.0,0.6,26128.0,27735.0,25925.5,26288.0,68.0,32.0,2023-12-29T13:45:57.253,,,,1,1,Abbott Laboratories,T2,1,1
ABTD,"{'cantidadCompra': 5.0, 'precioCompra': 21.8, 'precioVenta': 28.75, 'cantidadVenta': 2.0}",28.9,0.0,28.9,28.9,28.9,28.9,0.0,0.0,2023-12-29T03:00:04.78,,,,1,2,Abbott Laboratories,T2,1,1
ADBE,"{'cantidadCompra': 1900.0, 'precioCompra': 25428.0, 'precioVenta': 25827.5, 'cantidadVenta': 1900.0}",25827.0,1.91,26000.0,26950.5,25432.5,25827.0,565.0,127.0,2023-12-29T13:45:15.257,,,,1,1,Adobe Systems Incorporated,T2,1,1
ADGO,"{'cantidadCompra': 11.0, 'precioCompra': 21100.5, 'precioVenta': 21199.0, 'cantidadVenta': 2100.0}",21180.0,1.01,20935.0,21499.0,20000.0,21180.0,466.0,74.0,2023-12-29T13:37:53.21,,,,1,1,Adecoagro,T2,1,1
ADI,"{'cantidadCompra': 100.0, 'precioCompra': 12487.0, 'precioVenta': 12647.0, 'cantidadVenta': 2700.0}",12570.0,-0.93,12689.0,13100.0,12365.5,12570.0,72.0,14.0,2023-12-29T13:41:30.813,,,,1,1,Analog Devices,T2,1,1
ADP,"{'cantidadCompra': 40.0, 'precioCompra': 36651.0, 'precioVenta': 37012.0, 'cantidadVenta': 900.0}",37000.0,0.87,36951.5,37309.0,36401.0,37000.0,160.0,23.0,2023-12-29T13:38:19.14,,,,1,1,Automatic Data Processing Inc,T2,1,1
ADS,,3980.0,0.0,3980.0,3980.0,3980.0,3980.0,0.0,0.0,2023-12-29T03:00:10.02,,,,1,1,Adidas Ag,T2,1,1
ADSC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:26.407,,,,1,2,Adidas Ag,T2,1,1
ADSD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:01.903,,,,1,2,Adidas Ag,T2,1,1
AEM,"{'cantidadCompra': 80.0, 'precioCompra': 17219.5, 'precioVenta': 17418.0, 'cantidadVenta': 1900.0}",17283.0,0.68,17369.0,17500.0,17143.0,17283.0,153.0,11.0,2023-12-29T13:43:01.377,,,,1,1,Agnico Eagle Mines Limited,T2,1,1
AIG,"{'cantidadCompra': 2700.0, 'precioCompra': 12799.5, 'precioVenta': 12957.5, 'cantidadVenta': 2700.0}",13004.0,1.33,12775.0,13004.0,12686.5,13004.0,88.0,8.0,2023-12-29T13:13:46.427,,,,1,1,American International Group,T2,1,1
AKO.B,"{'cantidadCompra': 2.0, 'precioCompra': 12421.0, 'precioVenta': 16500.0, 'cantidadVenta': 6.0}",16500.0,0.0,16500.0,16500.0,16500.0,16500.0,47.0,4.0,2023-12-29T13:35:36.29,,,,1,1,EMBOTELLADORA ANDINA S.A.,T2,1,1
AKOBD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:10.03,,,,1,2,Embotelladora Andina S.A.,T2,1,1
AMAT,"{'cantidadCompra': 1400.0, 'precioCompra': 30420.0, 'precioVenta': 30550.0, 'cantidadVenta': 134.0}",30406.5,-0.13,30450.0,30591.5,30406.5,30406.5,33.0,6.0,2023-12-29T13:41:50.617,,,,1,1,Applied Materials,T2,1,1
AMD,"{'cantidadCompra': 49.0, 'precioCompra': 13608.0, 'precioVenta': 13900.0, 'cantidadVenta': 37.0}",14128.0,0.74,14100.0,14700.0,13898.5,14128.0,3495.0,415.0,2023-12-29T13:45:39.327,,,,1,1,Advanced Micro Devices,T2,1,1
AMDD,"{'cantidadCompra': 26.0, 'precioCompra': 14.5, 'precioVenta': 14.7, 'cantidadVenta': 12.0}",14.5,-1.02,14.85,15.0,14.5,14.5,244.0,42.0,2023-12-29T13:38:36.177,,,,1,2,Advanced Micro Devices,T2,1,1
AMGN,"{'cantidadCompra': 60.0, 'precioCompra': 27084.0, 'precioVenta': 27394.5, 'cantidadVenta': 2.0}",27380.0,1.62,27570.5,29200.0,26988.5,27380.0,91.0,28.0,2023-12-29T13:46:15.663,,,,1,1,Amgen,T2,1,1
AMX,"{'cantidadCompra': 6.0, 'precioCompra': 10404.0, 'precioVenta': 17578.5, 'cantidadVenta': 2.0}",17578.5,2.47,17491.0,17578.5,17245.5,17578.5,81.0,5.0,2023-12-29T13:09:34.27,,,,1,1,America Movil,T2,1,1
AMXD,"{'cantidadCompra': 0.0, 'precioCompra': 0.0, 'precioVenta': 21.4, 'cantidadVenta': 25.0}",20.4,0.0,20.0,20.4,20.0,20.4,0.0,0.0,2023-12-29T03:00:12.013,,,,1,2,America Movil,T2,1,1
AMZN,"{'cantidadCompra': 668.0, 'precioCompra': 1003.0, 'precioVenta': 1004.5, 'cantidadVenta': 473.0}",1004.5,0.14,1020.0,1045.0,993.0,1004.5,125653.0,3937.0,2023-12-29T13:46:19.307,,,,1,1,Amazon ,T2,1,1
AMZNC,,0.912,0.0,0.912,0.912,0.912,0.912,0.0,0.0,2023-12-28T03:00:20.167,,,,1,2,Amazon ,T2,1,1
AMZND,"{'cantidadCompra': 34.0, 'precioCompra': 1.05, 'precioVenta': 1.06, 'cantidadVenta': 373.0}",1.05,0.96,1.03,1.08,1.03,1.05,10182.0,259.0,2023-12-29T13:41:10.717,,,,1,2,Amazon,T2,1,1
ANF,"{'cantidadCompra': 6.0, 'precioCompra': 65000.0, 'precioVenta': 84888.5, 'cantidadVenta': 60.0}",83934.5,3.99,83934.5,83934.5,83934.5,83934.5,4.0,2.0,2023-12-29T12:39:26.3,,,,1,1,Abercrombie & Fitch Co.,T2,1,1
ANFC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:20.473,,,,1,2,Abercrombie & Fitch Co.,T2,1,1
ANFD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:02.95,,,,1,2,Abercrombie & Fitch Co.,T2,1,1
AOCA,"{'cantidadCompra': 1.0, 'precioCompra': 41000.0, 'precioVenta': 43700.0, 'cantidadVenta': 2.0}",43790.0,-0.02,43810.0,43810.0,43000.0,43790.0,8.0,6.0,2023-12-29T12:56:12.85,,,,1,1,Aluminum Corporation Of China Limited,T2,1,1
AOCAD,"{'cantidadCompra': 2.0, 'precioCompra': 23.2, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",23.1,0.0,23.1,23.1,23.1,23.1,0.0,0.0,2023-12-29T03:00:22.863,,,,1,2,Aluminum Corporation Of China Limited,T2,1,1
