,symbol,open,dayMax,dayMin,close,volume,exchange,currency,shortName,askSize,ask,bid,bidSize,symbol_D_BA,open_D_BA,dayMax_D_BA,dayMin_D_BA,close_D_BA,volume_D_BA,exchange_D_BA,currency_D_BA,shortName_D_BA,askSize_D_BA,ask_D_BA,bid_D_BA,bidSize_D_BA,base_symbol,symbol_BA,open_BA,dayMax_BA,dayMin_BA,close_BA,volume_BA,exchange_BA,currency_BA,shortName_BA,askSize_BA,ask_BA,bid_BA,bidSize_BA,MEP,MEP_compra_ARS,MEP_compra_USD
0,,,,,,,,,,,,,,AALD.BA,6.45,6.45,6.45,6.45,4.0,BUE,USD,American Airlines Group Inc.,10.0,6.4,7.6,5.0,AAL,AAL.BA,5333.5,5394.5,5102.5,5327.5,4627.0,BUE,ARS,AMERICAN AIRLINES GROUP INC.,1.0,5288.5,5335.0,70.0,826.8992248062016,695.8552631578948,833.59375
1,,,,,,,,,,,,,,AAPLD.BA,18.5,18.9,17.85,18.05,4569.0,BUE,USD,Apple,10.0,17.0,22.0,5.0,AAPL,AAPL.BA,14497.5,14956.5,14141.0,14863.5,64621.0,BUE,ARS,Apple,3.0,14888.0,14890.0,119.0,783.6486486486486,676.7272727272727,875.8823529411765
2,,,,,,,,,,,,,,ABBVD.BA,16.0,16.0,16.0,16.0,0.0,BUE,USD,Abbvie Inc.,24.0,14.75,17.5,1.0,ABBV,ABBV.BA,12267.0,12819.0,11968.0,12718.0,1953.0,BUE,ARS,AbbVie Inc.,8.0,12543.0,12854.0,6.0,766.6875,716.7428571428571,871.457627118644
3,,,,,,,,,,,,,,ABEVD.BA,9.05,9.05,9.05,9.05,0.0,BUE,USD,Ambev,3.0,7.5,8.0,29.0,ABEV,ABEV.BA,6444.0,6580.0,6335.5,6490.0,783.0,BUE,ARS,Ambev,8.0,6465.5,6503.0,8.0,712.0441988950275,808.1875,867.0666666666667
4,,,,,,,,,,,,,,ABNBD.BA,9.76,9.76,9.76,9.76,20.0,BUE,USD,"Airbnb, Inc.",5.0,8.76,10.0,5.0,ABNB,ABNB.BA,7500.0,7500.0,7107.5,7340.5,1106.0,BUE,ARS,"Airbnb, Inc.",25.0,7275.0,7405.5,10.0,768.4426229508197,727.5,845.3767123287671
5,,,,,,,,,,,,,,ABTD.BA,27.0,27.0,27.0,27.0,0.0,BUE,USD,Abbott Laboratories,14.0,24.05,33.0,10.0,ABT,ABT.BA,19821.5,20884.0,19600.0,20666.5,393.0,BUE,ARS,Abbott Laboratories,1.0,19874.0,20884.0,2.0,734.1296296296297,602.2424242424242,868.3575883575884
6,,,,,,,,,,,,,,AMDD.BA,10.6,11.0,10.45,10.5,205.0,BUE,USD,Advanced Micro Devices,1.0,3.22,12.1,85.0,AMD,AMD.BA,8550.0,8690.0,8287.0,8601.5,18524.0,BUE,ARS,Advanced Micro Devices,2.0,8595.0,8623.0,24.0,806.6037735849056,710.3305785123968,2677.950310559006
7,,,,,,,,,,,,,,AMZND.BA,0.997,0.997,0.908,0.93,16388.0,BUE,USD,Amazon,105.0,0.918,0.93,78.0,AMZN,AMZN.BA,747.0,756.0,721.0,748.0,245077.0,BUE,ARS,Amazon ,1.0,720.0,760.0,50.0,749.247743229689,774.1935483870967,827.8867102396514
8,,,,,,,,,,,,,,ARKKD.BA,4.05,4.05,4.0,4.0,97.0,BUE,USD,Etf Ark Innovation,893.0,4.0,4.4,10.0,ARKK,ARKK.BA,3238.0,3316.0,3143.0,3272.0,12482.0,BUE,ARS,Etf Ark Innovation,25.0,3273.0,3274.0,101.0,799.5061728395062,743.8636363636363,818.5
9,,,,,,,,,,,,,,AVGOD.BA,22.0,22.0,22.0,22.0,0.0,BUE,USD,Broadcom Inc.,11.0,20.95,24.5,3.0,AVGO,AVGO.BA,17600.0,18150.0,17421.0,18070.0,779.0,BUE,ARS,Broadcom Inc.,1.0,17850.0,18100.0,50.0,800.0,728.5714285714286,863.9618138424821
10,,,,,,,,,,,,,,AXPD.BA,10.05,10.35,10.05,10.35,34.0,BUE,USD,American Express,56.0,10.85,11.6,10.0,AXP,AXP.BA,8377.0,8439.5,8080.0,8380.0,1516.0,BUE,ARS,American Express,5.0,8311.0,8380.0,71.0,833.5323383084576,716.4655172413793,772.3502304147465
11,,,,,,,,,,,,,,AZND.BA,36.55,36.9,35.85,35.85,0.0,BUE,USD,Astrazeneca,10.0,33.35,36.5,2.0,AZN,AZN.BA,27346.5,28750.0,27296.5,28648.5,2854.0,BUE,ARS,Astrazeneca,4.0,28390.0,28683.5,2.0,748.1942544459645,777.8082191780821,860.0749625187406
12,,,,,,,,,,,,,,BABAD.BA,10.2,10.25,9.8,10.0,445.0,BUE,USD,Alibaba Group,10.0,8.91,11.0,10.0,BABA,BABA.BA,7844.0,8160.0,7730.5,8086.0,8602.0,BUE,ARS,Alibaba Group,20.0,8060.5,8120.0,44.0,769.0196078431374,732.7727272727273,911.3355780022447
13,,,,,,,,,,,,,,BAD.BA,35.0,35.0,35.0,35.0,0.0,BUE,USD,Boeing,156.0,33.1,39.5,27.0,BA,BA.BA,26500.0,27420.0,26306.0,27219.5,483.0,BUE,ARS,Boeing,4.0,27100.0,27250.0,7.0,757.1428571428571,686.0759493670886,823.2628398791541
14,,,,,,,,,,,,,,BBD.BA,2341.5,2375.0,2259.0,2327.5,84372.0,BUE,ARS,Banco Bradesco S.A.,1.0,2323.0,2327.5,59.0,BBD,BBD.BA,2341.5,2375.0,2259.0,2327.5,84372.0,BUE,ARS,Banco Bradesco S.A.,1.0,2323.0,2327.5,59.0,1.0,0.9980665950590762,1.0019371502367629
15,,,,,,,,,,,,,,BBDD.BA,2.92,2.92,2.78,2.78,47.0,BUE,USD,Banco Bradesco S.A.,70.0,2.85,3.1,100.0,BBD,BBD.BA,2341.5,2375.0,2259.0,2327.5,84372.0,BUE,ARS,Banco Bradesco S.A.,1.0,2323.0,2327.5,59.0,801.8835616438356,749.3548387096774,816.6666666666666
16,,,,,,,,,,,,,,BBVD.BA,8.62,8.62,8.62,8.62,2.0,BUE,USD,CEDEAR BBV SA,618.0,8.44,8.58,619.0,BBVA,BBV.BA,6740.0,7014.0,6654.5,6960.5,2743.0,BUE,ARS,Banco Bilbao Vizcaya Argentaria,1.0,6690.5,6980.0,493.0,781.9025522041765,779.7785547785547,827.0142180094787
17,,,,,,,,,,,,,,BIDUD.BA,12.6,12.6,12.6,12.6,16.0,BUE,USD,Baidu,19.0,11.8,12.9,1.0,BIDU,BIDU.BA,10000.0,10250.0,9743.0,10146.5,1266.0,BUE,ARS,Baidu,4.0,10042.0,10250.0,10.0,793.6507936507936,778.4496124031008,868.6440677966101
18,,,,,,,,,,,,,,BIOXD.BA,23.8,23.8,21.85,21.85,14.0,BUE,USD,Bioceres Crop Solutions Corp,1.0,22.0,23.75,38.0,BIOX,BIOX.BA,18304.5,18304.5,17550.0,18002.5,1506.0,BUE,ARS,Bioceres Crop Solutions Corp.,5.0,17900.0,18100.0,1.0,769.0966386554621,753.6842105263158,822.7272727272727
19,,,,,,,,,,,,,,BITFD.BA,5.33,5.33,5.2,5.2,8.0,BUE,USD,Bitfarms Ltd.,103.0,5.2,6.2,30.0,BITF,BITF.BA,4400.0,4400.0,4110.0,4204.0,18836.0,BUE,ARS,Bitfarms Ltd.,3.0,4197.0,4285.0,15.0,825.5159474671669,676.9354838709677,824.0384615384615
20,,,,,,,,,,,,,,BPD.BA,8.6,8.6,8.6,8.6,0.0,BUE,USD,BP,47.0,7.54,8.07,1.0,BP,BP.BA,6210.5,6600.0,6181.0,6562.5,1306.0,BUE,ARS,BP,4000.0,6463.0,6504.5,1600.0,722.1511627906978,800.8674101610904,862.6657824933687
21,,,,,,,,,,,,,,BRKBD.BA,17.3,17.3,16.0,16.5,5167.0,BUE,USD,Berkshire Hathaway,10.0,16.1,16.5,26.0,BRKB,BRKB.BA,13150.0,13592.0,12928.0,13442.0,19879.0,BUE,ARS,Berkshire Hathaway,2.0,12500.0,14000.0,1.0,760.1156069364162,757.5757575757576,869.5652173913043
22,,,,,,,,,,,,,,CATD.BA,15.5,15.5,14.4,14.8,38.0,BUE,USD,Caterpillar,3.0,14.4,14.8,3.0,CAT,CAT.BA,11335.0,12000.0,11115.5,11716.5,1301.0,BUE,ARS,Caterpillar,3.0,11476.5,12000.0,8.0,731.2903225806451,775.4391891891892,833.3333333333333
23,,,,,,,,,,,,,,COIND.BA,3.15,3.15,3.15,3.15,40.0,BUE,USD,Coinbase Global Inc.,10.0,2.81,3.15,112.0,COIN,COIN.BA,2315.0,2370.0,2216.0,2312.5,53012.0,BUE,ARS,COINBASE GLOBAL INC.,4.0,2305.5,2325.0,10.0,734.9206349206349,731.9047619047619,827.4021352313167
24,,,,,,,,,,,,,,CSCOD.BA,11.4,11.45,11.3,11.3,111.0,BUE,USD,Cisco Systems,27.0,11.1,15.9,2.0,CSCO,CSCO.BA,8938.5,9331.5,8822.0,9300.0,1086.0,BUE,ARS,Cisco Systems,20.0,9198.0,9300.0,14.0,784.078947368421,578.4905660377358,837.8378378378378
25,,,,,,,,,,,,,,CVXD.BA,22.0,23.5,22.0,22.35,165.0,BUE,USD,Chevron,7.0,22.35,23.3,14.0,CVX,CVX.BA,17349.5,18140.0,17200.0,18003.5,1917.0,BUE,ARS,Chevron,1.0,17951.0,18088.5,5.0,788.6136363636364,770.4291845493563,809.3288590604026
26,,,,,,,,,,,,,,DED.BA,10.65,10.65,10.65,10.65,0.0,BUE,USD,Deere,4.0,8.5,11.5,25.0,DE,DE.BA,7830.0,8110.0,7655.5,7998.5,2110.0,BUE,ARS,Deere,3.0,7998.5,8085.0,38.0,735.2112676056338,695.5217391304348,951.1764705882352
27,,,,,,,,,,,,,,DESPD.BA,7.2,7.5,7.2,7.35,73.0,BUE,USD,Despegar,1.0,6.66,12.1,187.0,DESP,DESP.BA,6004.5,6100.0,5822.0,5936.0,3169.0,BUE,ARS,Despegar,14.0,5890.0,5975.0,20.0,833.9583333333333,486.77685950413223,897.1471471471472
28,,,,,,,,,,,,,,DIAD.BA,17.7,18.0,17.15,17.5,582.0,BUE,USD,Etf Spdr Dow Jones Industrial,9.0,17.15,23.0,4.0,DIA,DIA.BA,13800.0,14350.0,13669.5,14211.5,29185.0,BUE,ARS,Etf Spdr Dow Jones Industrial,1.0,14110.0,14250.0,20.0,779.6610169491526,613.4782608695652,830.9037900874637
29,,,,,,,,,,,,,,DISND.BA,7.29,7.29,7.0,7.1,1447.0,BUE,USD,The Walt Disney Company,22.0,7.1,7.15,24.0,DIS,DISN.BA,5685.5,5791.5,5523.0,5730.5,16993.0,BUE,ARS,The Walt Disney Company,44.0,5730.0,5730.5,784.0,779.9039780521261,801.3986013986014,807.112676056338
