symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,conversion,x/y mid,x/y ask,x/y bid
AAL,6600.0,6897.5,6350.0,6600.0,2560.0,BUE,180.0,6546.0,6654.0,180.0,48,AAL,2.0,L,base,ARS,AALD,6.85,6.85,6.68,6.68,14.0,BUE,5.0,6.0,7.09,70.0,48,AAL,2.0,D,dolar,USD,AAL 48h - AALD 48h,963.5036496350366,1109.0,923.2722143864598
AAPL,18400.0,19406.5,17950.0,18449.5,44785.0,BUE,11.0,17505.0,18260.0,4.0,48,AAPL,10.0,L,base,ARS,AAPLD,19.5,19.75,18.9,19.05,1459.0,BUE,19.0,19.05,19.1,53.0,48,AAPL,10.0,D,dolar,USD,AAPL 48h - AAPLD 48h,943.5897435897435,958.5301837270341,916.4921465968586
ABBV,14700.0,15065.5,14470.5,14818.0,336.0,BUE,100.0,14746.5,14958.5,100.0,48,ABBV,10.0,V,base,ARS,ABBVD,15.2,15.2,15.2,15.2,40.0,BUE,30.0,15.0,16.8,21.0,48,ABBV,10.0,D,dolar,USD,ABBV 48h - ABBVD 48h,967.1052631578948,997.2333333333333,877.7678571428571
ABEV,7996.0,8623.5,7868.0,8088.0,300.0,BUE,12.0,7318.5,7700.0,5.0,48,ABEV,0.333333333,V,base,ARS,ABEVD,9.9,9.9,9.9,9.9,0.0,BUE,1.0,8.25,10.35,1.0,48,ABEV,0.333333333,D,dolar,USD,ABEV 48h - ABEVD 48h,807.6767676767677,933.3333333333334,707.1014492753624
ABNB,8510.0,8925.0,8365.0,8636.5,372.0,BUE,160.0,8637.0,8739.5,160.0,48,ABNB,15.0,B,B,ARS,ABNBD,9.2,9.3,9.2,9.3,0.0,BUE,3.0,9.3,0.0,0.0,48,ABNB,15.0,D,dolar,USD,ABNB 48h - ABNBD 48h,925.0000000000001,939.7311827956988,inf
ABT,26128.0,27735.0,25925.5,26556.5,79.0,BUE,60.0,26318.5,26554.0,60.0,48,ABT,4.0,T,base,ARS,ABTD,28.9,28.9,28.9,28.9,0.0,BUE,5.0,21.8,28.75,2.0,48,ABT,4.0,D,dolar,USD,ABT 48h - ABTD 48h,904.083044982699,1218.073394495413,915.4260869565218
AMX,17491.0,17653.0,17245.5,17653.0,85.0,BUE,60.0,17653.0,17822.5,60.0,48,AMX,1.0,X,base,ARS,AMXD,20.0,20.4,20.0,20.4,0.0,BUE,0.0,0.0,21.4,25.0,48,AMX,1.0,D,dolar,USD,AMX 48h - AMXD 48h,874.55,inf,824.9065420560748
AMZN,1020.0,1045.0,993.0,1018.0,186774.0,BUE,487.0,998.0,1004.5,775.0,48,AMZN,144.0,N,base,ARS,AMZND,1.03,1.08,1.03,1.04,14755.0,BUE,4630.0,1.04,1.06,439.0,48,AMZN,144.0,D,dolar,USD,AMZN 48h - AMZND 48h,990.2912621359224,965.8653846153845,941.5094339622641
AOCA,43810.0,43810.0,42000.0,43500.0,19.0,BUE,2.0,41000.0,43600.0,3.0,48,AOCA,1.0,A,base,ARS,AOCAD,23.1,23.1,23.1,23.1,0.0,BUE,2.0,23.2,0.0,0.0,48,AOCA,1.0,D,dolar,USD,AOCA 48h - AOCAD 48h,1896.5367965367964,1879.3103448275863,inf
ARKK,5135.0,5455.5,4939.0,5008.5,18189.0,BUE,27300.0,5008.0,5071.0,340.0,48,ARKK,10.0,K,base,ARS,ARKKD,5.25,5.5,5.1,5.1,460.0,BUE,200.0,5.01,5.27,60.0,48,ARKK,10.0,D,dolar,USD,ARKK 48h - ARKKD 48h,978.0952380952381,1012.1756487025948,950.2846299810248
